################################################################################
# Voter Autrement 2017
################################################################################
#
# This dataset Voter Autrement is made available under the Open Database
# License: http://opendatacommons.org/licenses/odbl/1.0/. Any rights in
# individual contents of the database are licensed under the Database
# Contents License: http://opendatacommons.org/licenses/dbcl/1.0/
#
# Antoinette Baujard, GATE Lyon Saint-Étienne, Université Jean Monnet, Saint-Étienne
# Renaud Blanch, LIG, Univ. Grenoble-Alpes
# Sylvain Bouveret, LIG, Univ. Grenoble-Alpes
# François Durand, LAMSADE, Université Paris-Dauphine
# Herrade Igersheim, CNRS, BETA, Université de Strasbourg
# Jérôme Lang, LAMSADE CNRS, Université Paris-Dauphine
# Annick Laruelle, UPV-EHU, Universidad del País Vasco
# Jean-François Laslier, CNRS, Paris School of Economics
# Isabelle Lebon, CREM, Universités Caen-Normandie et Rennes 1
# Vincent Merlin, CNRS, CREM, Universités Caen-Normandie et Rennes 1
#
################################################################################
#
# Dataset: Online experiment Questionnaire.
# Format: CSV with header
#
# The questionnaire filled-in by the participants at the end of the experiment (version
# proposed to the participants before the first round of the official election)
# For most questions, the participants were free not to answer at all (empty value)
# or explicitly they do not want to answer (value "nspp").
#
# * Column 1: Voter number
# * Colums 2-12: Appreciation of voting methods (-2, -1, 0, 1, 2) (NP) means that the
#   voter did not test this method. No value means that the voter did not answer.
#   - Column 2: Approval
#   - Column 3: Evaluation 0/1/2
#   - Column 4: Evaluation 0/1/2/3
#   - Column 5: Evaluation -1/0/1/2
#   - Column 6: Evaluation -1/0/1
#   - Column 7: Borda 4
#   - Column 8: STV 4-11
#   - Column 9: STV 1-11
#   - Column 10: Evaluation Continuous
#   - Column 11: Condorcet
#   - Column 12: two round majority
# * Column 13: what do you plan to do at the first round of the official election?
#   (vote for candidate X / blanc = blank / abstention = abstain / ni = I do not have the right to vote / nspp)
# * Column 14: vote is a right (t = yes / f = no)
# * Column 15: vote is a duty (t = yes / f = no)
# * Column 16: vote is a chance (t = yes / f = no)
# * Column 17: vote is useful (t = yes / f = no)
# * Column 18: evaluate your position on a left / right axis (0 = left ... 10 = right)
# * Column 19: age group (18-29, 30-39, 40-49, 50-59, 60-69, 70)
# * Column 20: gender (h = male / f = female)
# * Column 21: level of education (primaire = basic / secondaire = intermediate / superieur = higher)
# * Column 22: socio-professional category (liberal = "profession libérale", approximately self-employed
#   independent profession / prive = employee in the private sector /
#   public = employee in the public sector / chomage = unemployed / etudiant = student / autre = other)
#
################################################################################
Voter,Appreciation Approval,Appreciation Evaluation 0/1/2,Appreciation Evaluation 0/1/2/3,Appreciation Evaluation -1/0/1/2,Appreciation Evaluation -1/0/1,Appreciation Borda 4,Appreciation STV 4-11,Appreciation STV 1-11,Appreciation Evaluation Continuous,Appreciation Condorcet,Appreciation two round majority,official vote,vote is a right,vote is a duty,vote is a chance,vote is useful,left right,age,gender,studies,socioprofessional
Voter 25,(NP),(NP),,,(NP),(NP),(NP),,,,,blanc,,,,,,18-29,h,superieur,public
Voter 26,1,(NP),(NP),2,(NP),-1,(NP),(NP),,,-2,incertitude,t,t,t,t,1,40-49,h,superieur,public
Voter 27,0,(NP),0,(NP),(NP),(NP),(NP),0,,,-2,incertitude,t,t,t,t,5,40-49,f,superieur,public
Voter 28,-2,(NP),0,(NP),(NP),(NP),(NP),1,,,-1,Emmanuel Macron,t,t,t,t,4,30-39,h,superieur,public
Voter 29,2,(NP),(NP),(NP),1,(NP),(NP),1,,,-2,abstention,t,f,t,f,2,18-29,h,superieur,etudiant
Voter 30,(NP),(NP),1,0,(NP),(NP),(NP),2,,,-2,Jean-Luc Mélenchon,t,,,t,3,40-49,h,superieur,public
Voter 31,1,(NP),(NP),-1,(NP),(NP),(NP),1,,,-2,Jean-Luc Mélenchon,t,f,t,t,1,30-39,h,superieur,public
Voter 32,(NP),-1,(NP),(NP),-1,1,(NP),(NP),,,1,Emmanuel Macron,t,t,t,t,2,60-69,f,superieur,public
Voter 33,1,(NP),(NP),1,(NP),2,(NP),(NP),,,-2,Jean-Luc Mélenchon,t,f,t,t,3,18-29,h,superieur,public
Voter 34,1,(NP),(NP),1,(NP),(NP),(NP),2,,,2,François Fillon,t,t,t,t,6,18-29,h,superieur,etudiant
Voter 35,(NP),1,(NP),(NP),0,(NP),(NP),2,,,-2,abstention,t,f,t,f,5,18-29,h,superieur,etudiant
Voter 36,1,(NP),(NP),-1,(NP),(NP),2,(NP),,,-1,Jean-Luc Mélenchon,t,t,t,,1,30-39,h,superieur,public
Voter 37,,(NP),(NP),,(NP),(NP),(NP),,,,,Jean-Luc Mélenchon,,,,,,,,,
Voter 38,1,(NP),1,(NP),(NP),(NP),(NP),1,,,1,Emmanuel Macron,t,t,t,f,6,18-29,h,superieur,public
Voter 39,1,(NP),1,(NP),(NP),(NP),1,(NP),,,-1,Emmanuel Macron,t,,t,t,4,18-29,h,superieur,etudiant
Voter 40,1,(NP),2,(NP),(NP),(NP),1,(NP),,,-2,blanc,t,t,t,f,4,18-29,h,superieur,public
Voter 41,-1,(NP),-2,(NP),(NP),(NP),2,(NP),,,1,Emmanuel Macron,t,t,t,t,7,40-49,h,superieur,prive
Voter 42,(NP),1,(NP),(NP),1,(NP),(NP),2,,,-1,Emmanuel Macron,t,t,t,t,5,18-29,h,superieur,prive
Voter 43,2,(NP),(NP),-2,(NP),(NP),-2,(NP),,,1,Emmanuel Macron,t,t,f,t,0,18-29,h,superieur,etudiant
Voter 44,0,(NP),(NP),1,(NP),1,(NP),(NP),,,-1,Benoît Hamon,t,t,t,t,2,50-59,f,superieur,public
Voter 45,1,(NP),(NP),(NP),-1,1,(NP),(NP),,,1,François Fillon,t,t,t,t,8,18-29,h,superieur,public
